Id,IndicatorCode,SpatialDim,SpatialValueCode,TimeDim/year,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28473437,MDG_0000000025,ALB,150,2021,98.6,98.56138,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473438,MDG_0000000025,ALB,199,2007,34.2,34.15954,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473439,MDG_0000000025,ALB,199,2014,46.7,46.74791,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473440,MDG_0000000025,ALB,199,2021,66.3,66.28636,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473441,MDG_0000000025,ALB,202,2007,42.9,42.87209,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473442,MDG_0000000025,ALB,202,2014,51.9,51.87976,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473443,MDG_0000000025,ALB,202,2021,64.3,64.33712,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473444,MDG_0000000025,ARE,419,2007,88.2,88.16495,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473445,MDG_0000000025,ARE,419,2014,93,93.0184,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473446,MDG_0000000025,ARE,419,2021,94.9,94.90848,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473447,MDG_0000000025,ARE,432,2007,35,34.95732,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473448,MDG_0000000025,ARE,432,2014,48.7,48.65914,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473449,MDG_0000000025,ARE,432,2021,69.1,69.09721,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473450,MDG_0000000025,ARE,513,2007,99.2,99.17833,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473451,MDG_0000000025,ARE,513,2014,99,98.98092,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473452,MDG_0000000025,ARE,513,2021,98.7,98.71936,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473453,MDG_0000000025,ARE,722,2007,69.4,69.35396,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473454,MDG_0000000025,ARE,722,2014,74.6,74.6245,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473455,MDG_0000000025,ARE,722,2021,77.1,77.08534,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473456,MDG_0000000025,ARG,747,2007,87.1,87.08745,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:10Z,2001-2007,1/1/2001,12/31/2007
28473457,MDG_0000000025,ARG,747,2014,92.5,92.53401,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:10Z,2008-2014,1/1/2008,12/31/2014
28473458,MDG_0000000025,ARG,747,2021,96.5,96.50694,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:10Z,2015-2021,1/1/2015,12/31/2021
28473459,MDG_0000000025,ARG,753,2007,87.2,87.16672,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:10Z,2001-2007,1/1/2001,12/31/2007
28473460,MDG_0000000025,ARG,753,2014,93.2,93.18599,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:10Z,2008-2014,1/1/2008,12/31/2014
28473461,MDG_0000000025,ARG,753,2021,96,96.0375,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:10Z,2015-2021,1/1/2015,12/31/2021
28473462,MDG_0000000025,ARG,AFG,2003,14.3,14.3,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Multiple Indicator Cluster Survey - 2003 Afghanistan. Afghanistan: Central Statistics Office [Afghanistan], United Nations Children’s Fund (UNICEF); 2004.",2022-05-09T15:22:10Z,2003,1/1/2003,12/31/2003
28473463,MDG_0000000025,ARG,AFG,2010,34.3,34.3,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Afghanistan Mortality Survey 2010. Calverton: Afghan Public Health Institute, Ministry of Public Health (APHI/MoPH) [Afghanistan], Central Statistics Organization (CSO) [Afghanistan], ICF Macro, Indian Institute of Health Management Research (IIHMR) [India], and World Health Organization Regional Office for the Eastern Mediterranean (WHO/EMRO) [Egypt]; 2011.",2022-05-09T15:22:10Z,2010,1/1/2010,12/31/2010
28473464,MDG_0000000025,ARG,AFG,2011,38.6,38.6,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Central Statistics Organisation (CSO), UNICEF. Afghanistan Multiple Indicator Cluster Survey 2010-2011: Final Report. Kabul: Central Statistics Organisation (CSO), UNICEF; 2012.",2022-05-09T15:22:10Z,2010-2011,1/1/2010,12/31/2011
28473465,MDG_0000000025,ARG,AFG,2012,39.9,39.9,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. National Risk and Vulnerability Assessment 2011-12. Afghanistan Living Condition Survey. Kabul: Central Statistics Organization (CSO); 2014.",2022-05-09T15:22:10Z,2011-2012,1/1/2011,12/31/2012
28473466,MDG_0000000025,ARG,AFG,2014,45.2,45.2,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Afghanistan Living Conditions Survey 2013-14. National Risk and Vulnerability Assessment. Kabul: Central Statistics Organization (CSO); 2016.",2022-05-09T15:22:10Z,2013-2014,1/1/2013,12/31/2014
28473467,MDG_0000000025,ARG,AFG,2015,50.5,50.5,,,"Definition includes other cadres that is not in alignment with the standard definition. Central Statistics Organization (CSO), Ministry of Public Health (MoPH), ICF. Afghanistan Demographic and Health Survey 2015. Kabul, Afghanistan: Central Statistics Organization; 2017.",2022-05-09T15:22:10Z,2015,1/1/2015,12/31/2015
28473468,MDG_0000000025,ARM,AFG,2017,53.4,53.4,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Afghanistan Living Conditions Survey 2016-17. Kabul: Central Statistics Organization (CSO); 2018.",2022-05-09T15:22:10Z,2016-2017,1/1/2016,12/31/2017
28473469,MDG_0000000025,ARM,AFG,2018,58.8,58.8,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Afghanistan Health Survey 2018. Amsterdam: KIT Royal Tropical Institute; 2018.",2022-05-09T15:22:10Z,2018,1/1/2018,12/31/2018
28473470,MDG_0000000025,ARM,AFG,2020,61.8,61.8,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Afghanistan 2019-2020 Income, Expenditure & Labour Force Survey; National Statistics and Information Authority",2022-05-09T15:22:10Z,2019-2020,1/1/2019,12/31/2020
28473471,MDG_0000000025,ARM,ALB,2000,99.1,99.1,,,"Definition includes other cadres that is not in alignment with the standard definition. Multiple Indicator Cluster Survey Report Albania 2000. Tirana: National Institute of Statistics, United Nations Children’s Fund (UNICEF); 2000.",2022-05-09T15:22:10Z,2000,1/1/2000,12/31/2000
28473472,MDG_0000000025,ARM,ALB,2002,98,98,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Albania Poverty Assessment. Report No. 26213-AL. Washington DC: World Bank; 2003.",2022-05-09T15:22:10Z,2002,1/1/2002,12/31/2002
28473473,MDG_0000000025,ARM,ALB,2005,99.8,99.8,,,"Definition includes other cadres that is not in alignment with the standard definition. Albanian National Institute of Statistics. Albania Multiple Indicator Cluster Survey 2005, Final Report. Tirana, Albania: Albanian National Institute of Statistics; 2007.",2022-05-09T15:22:10Z,2005,1/1/2005,12/31/2005
28473474,MDG_0000000025,ARM,ALB,2009,99.3,99.3,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Institute of Statistics, Institute of Public Health [Albania], ICF Macro. Albania Demographic and Health Survey 2008-09. Tirana, Albania: Institute of Statistics, Institute of Public Health, ICF Macro; 2010.",2022-05-09T15:22:10Z,2008-2009,1/1/2008,12/31/2009
28473475,MDG_0000000025,ARM,ALB,2018,99.8,99.8,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Institute of Statistics, Institute of Public Health, and ICF. 2018. Albania Demographic and Health Survey 2017-18. Tirana, Albania: Institute of Statistics, Institute of Public Health, and ICF.",2022-05-09T15:22:10Z,2017-2018,1/1/2017,12/31/2018
28473476,MDG_0000000025,ARM,DZA,2006,95.2,95.2,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Enquête nationale à indicateurs multiples. République Algérienne Démocratique et Populaire 2006. Rapport Principal. Alger: Ministère de la Santé, de la Population et de la Réforme Hospitalière, Office National des Statistiques, Fonds des Nations unies pour l’enfance (UNICEF), Fonds des Nations Unies pour la Population (UNFPA); 2008 (in French).",2022-05-09T15:22:10Z,2006,1/1/2006,12/31/2006
28473477,MDG_0000000025,ARM,DZA,2013,96.6,96.6,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Enquête par Grappes à Indicateurs Multiples (MICS) [Multiple Indicator Cluster Survey (MICS)] République Algérienne Démocratique et Populaire 2012-2013. Rapport final. Algérie: Ministère de la Santé, de la Population et de la Réforme Hospitalière, Fonds des Nations unies pour l’enfance (UNICEF), Fonds des Nations Unies pour la Population (FNUAP/UNFPA); 2015 (in French).",2022-05-09T15:22:10Z,2012-2013,1/1/2012,12/31/2013
28473478,MDG_0000000025,ARM,DZA,2019,98.8,98.8,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Enquête par grappes à indicateurs multiples (MICS) Algérie, 2018-2019. Alger: Ministère de la Santé, de la Population et de la Réforme Hospitalière; 2020 (in French).",2022-05-09T15:22:10Z,2018-2019,1/1/2018,12/31/2019
28473479,MDG_0000000025,ARM,AND,2015,100,100,,,"Definition includes other cadres that is not in alignment with the standard definition. Department d'Estadistica, Govern d'Andorra. Data provided to Unicef via country consultation 2019.",2022-05-09T15:22:10Z,2015,1/1/2015,12/31/2015
28473480,MDG_0000000025,ATG,AND,2016,100,100,,,"Definition includes other cadres that is not in alignment with the standard definition. Department d'Estadistica, Govern d'Andorra. Data provided to Unicef via country consultation 2019.",2022-05-09T15:22:10Z,2016,1/1/2016,12/31/2016
28473481,MDG_0000000025,ATG,AND,2017,100,100,,,"Definition includes other cadres that is not in alignment with the standard definition. Department d'Estadistica, Govern d'Andorra. Data provided to Unicef via country consultation 2019.",2022-05-09T15:22:10Z,2017,1/1/2017,12/31/2017
28473482,MDG_0000000025,ATG,AGO,2016,49.6,49.6,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Instituto Nacional de Estatística (INE), Ministério da Saúde (MINSA), Ministério do Planeamento e do Desenvolvimento Territorial (MINPLAN), ICF. Inquérito de Indicadores Múltiplos e de Saúde em Angola 2015-2016. Luanda, Angola e Rockville, Maryland, EUA: INE, MINSA, MINPLAN, ICF; 2017 (in Portuguese).",2022-05-09T15:22:10Z,2015-2016,1/1/2015,12/31/2016
28473483,MDG_0000000025,ATG,ATG,2000,99.9,99.9,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2000. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2000.",2022-05-09T15:22:10Z,2000,1/1/2000,12/31/2000
28473484,MDG_0000000025,ATG,ATG,2001,100,100,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2002. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Special Program for Health Analysis; 2002.",2022-05-09T15:22:10Z,2001,1/1/2001,12/31/2001
28473485,MDG_0000000025,ATG,ATG,2003,99,99,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2004. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Area of Health Analysis and Information Systems (AIS); 2004.",2022-05-09T15:22:10Z,2003,1/1/2003,12/31/2003
28473486,MDG_0000000025,ATG,ATG,2004,100,100,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2005. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Area of Health Analysis and Information Systems (AIS); 2005.",2022-05-09T15:22:10Z,2004,1/1/2004,12/31/2004
28473487,MDG_0000000025,ATG,ATG,2005,99.9,99.9,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2006. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Analysis and Statistics Unit (HA); 2006.",2022-05-09T15:22:10Z,2005,1/1/2005,12/31/2005
28473488,MDG_0000000025,ATG,ATG,2006,99.9,99.9,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2007. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Analysis and Statistics Unit (HA); 2007.",2022-05-09T15:22:10Z,2006,1/1/2006,12/31/2006
28473489,MDG_0000000025,ATG,ATG,2007,100,100,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2008. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Information and Analysis; 2008.",2022-05-09T15:22:10Z,2007,1/1/2007,12/31/2007
28473490,MDG_0000000025,ATG,ATG,2008,100,100,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2009. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Information and Analysis Project; 2009.",2022-05-09T15:22:10Z,2008,1/1/2008,12/31/2008
28473491,MDG_0000000025,ATG,ATG,2009,100,100,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2010. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Information and Analysis Project (HSD/HA); 2010.",2022-05-09T15:22:10Z,2009,1/1/2009,12/31/2009
28473492,MDG_0000000025,AUS,ATG,2010,100,100,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2011. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Health Information and Analysis Project; 2011.",2022-05-09T15:22:10Z,2010,1/1/2010,12/31/2010
28473493,MDG_0000000025,AUS,ATG,2012,100,100,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2013. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Communicable Diseases and Health Analysis/Health Information and Analysis; 2013.",2022-05-09T15:22:10Z,2012,1/1/2012,12/31/2012
28473494,MDG_0000000025,AUS,ATG,2013,100,100,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2014. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Communicable Diseases and Health Analysis/Health Information and Analysis; 2014.",2022-05-09T15:22:10Z,2013,1/1/2013,12/31/2013
28473495,MDG_0000000025,AUS,ATG,2014,100,100,,,"Unclear definition of the cadres included. Health Situation in the Americas: Basic Indicators 2015. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Communicable Diseases and Health Analysis/Health Information and Analysis; 2015.",2022-05-09T15:22:10Z,2014,1/1/2014,12/31/2014
28473496,MDG_0000000025,AUS,ATG,2015,100,100,,,"Institutional Birth (IB): includes all deliveries that occurred at a health facility. Health Situation in the Americas: Core Indicators 2016. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO), Communicable Diseases and Health Analysis/Health Information and Analysis; 2016.",2022-05-09T15:22:10Z,2015,1/1/2015,12/31/2015
28473497,MDG_0000000025,AUS,ATG,2017,100,100,,,"Unclear definition of the cadres included. PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2018 (http://www.paho.org/data/index.php/en/indicators/visualization.html, accessed 11 February 2020).",2022-05-09T15:22:10Z,2017,1/1/2017,12/31/2017
28473498,MDG_0000000025,AUS,ATG,2020,99,99,,,"Unclear definition of the cadres included. PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington, DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos), accessed September 30, 2021).",2022-05-09T15:22:10Z,2020,1/1/2020,12/31/2020
28473499,MDG_0000000025,AUS,AZE,2000,80.7,80.7,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Azerbaijan Multiple Indicator Cluster Survey 2000. Baku: Ministry of Health, Azerbaijan, United Nations Children's Fund (UNICEF); 2000.",2022-05-09T15:22:10Z,2000,1/1/2000,12/31/2000
28473500,MDG_0000000025,AUS,AZE,2001,88,88,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. Ministry of Health [Azerbaijan], Division of Reproductive Health - Centers for Disease Control and Prevention (DRH/CDC). Reproductive Health Survey Azerbaijan, 2001. Final Report. Atlanta: CDC; 2003.",2022-05-09T15:22:10Z,2001,1/1/2001,12/31/2001
28473501,MDG_0000000025,AUS,AZE,2002,94,94,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013.,2022-05-09T15:22:11Z,2002,1/1/2002,12/31/2002
28473502,MDG_0000000025,AUS,AZE,2003,95.8,95.8,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013.,2022-05-09T15:22:11Z,2003,1/1/2003,12/31/2003
28473503,MDG_0000000025,AUS,AZE,2004,95.9,95.9,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013.,2022-05-09T15:22:11Z,2004,1/1/2004,12/31/2004
28473504,MDG_0000000025,AUT,AZE,2005,94.4,94.4,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013.,2022-05-09T15:22:11Z,2005,1/1/2005,12/31/2005
28473505,MDG_0000000025,AUT,AZE,2006,88.6,88.6,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife. State Statistical Committee (SSC) [Azerbaijan], Macro International Inc. Azerbaijan Demographic and Health Survey 2006. Calverton, Maryland, USA: State Statistical Committee, Macro International Inc.; 2008.",2022-05-09T15:22:11Z,2006,1/1/2006,12/31/2006
28473506,MDG_0000000025,AUT,AZE,2007,93,93,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013.,2022-05-09T15:22:11Z,2007,1/1/2007,12/31/2007
28473507,MDG_0000000025,AUT,AZE,2008,98,98,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013.,2022-05-09T15:22:11Z,2008,1/1/2008,12/31/2008
28473508,MDG_0000000025,AUT,AZE,2009,99.8,99.8,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013.,2022-05-09T15:22:11Z,2009,1/1/2009,12/31/2009
28473509,MDG_0000000025,AUT,AZE,2010,99.4,99.4,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013.,2022-05-09T15:22:11Z,2010,1/1/2010,12/31/2010
28473510,MDG_0000000025,AUT,AZE,2011,97.2,97.2,,,"Definition includes other cadres that is not in alignment with the standard definition. Public Health and Reforms Centre (PHRC) [Azerbaijan]. Demographic and Health Survey, Azerbaijan, 2011. Baku: Ministry of Health (MoH) [Azerbaijan]; 2013.",2022-05-09T15:22:11Z,2011,1/1/2011,12/31/2011
28473511,MDG_0000000025,AUT,AZE,2012,99.8,99.8,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2013. Baku: State Statistical Committee of the Republic of Azerbaijan; 2013.,2022-05-09T15:22:11Z,2012,1/1/2012,12/31/2012
28473512,MDG_0000000025,AUT,AZE,2013,99.9,99.9,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2015. Baku: State Statistical Committee of the Republic of Azerbaijan; 2015.,2022-05-09T15:22:11Z,2013,1/1/2013,12/31/2013
28473513,MDG_0000000025,AUT,AZE,2014,99.9,99.9,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2015. Baku: State Statistical Committee of the Republic of Azerbaijan; 2015.,2022-05-09T15:22:11Z,2014,1/1/2014,12/31/2014
28473514,MDG_0000000025,AUT,AZE,2015,99.8,99.8,,,Unclear definition of the cadres included. Statistical Yearbook of Azerbaijan 2016. Baku: State Statistical Committee of the Republic of Azerbaijan; 2016.,2022-05-09T15:22:11Z,2015,1/1/2015,12/31/2015
28473515,MDG_0000000025,AUT,AZE,2016,99.8,99.8,,,Unclear definition of the cadres included. Statistical Yearbook 2017. Women and Men in Azerbaijan. Baku: State Statistical Committee of the Republic of Azerbaijan; 2017.,2022-05-09T15:22:11Z,2016,1/1/2016,12/31/2016
